actor,degree
Daniel Craig,191
Christoph Waltz,419
Léa Seydoux,266
Ralph Fiennes,355
Monica Bellucci,95
Ben Whishaw,229
Naomie Harris,155
Dave Bautista,237
Andrew Scott,191
Rory Kinnear,179
Jesper Christensen,101
Alessandro Cremona,82
Stephanie Sigman,82
Tenoch Huerta,115
Adriana Paz,82
Domenico Fortunato,82
Marco Zingaro,82
Stefano Elfi DiClaudia,82
Ian Bonar,127
Tam Williams,82
Richard Banham,82
Pip Carter,82
Simon Lenagan,82
Alessandro Bressanello,82
Marc Zinga,82
Brigitte Millar,82
Adel Bencherif,139
Gediminas Adomaitis,82
Peppe Lanzetta,82
Francesco Arca,82
Matteo Taranto,97
Emilio Aniba,154
Benito Sagredo,82
Dai Tabuchi,82
George Lasha,82
Sargon Yelda,82
Andy Cheung,82
Erick Hayden,82
Oleg Mirochnikov,82
Antonio Salines,82
Miloud Mourad Benamara,82
Gido Schimanski,82
Nigel Barber,154
Patrice Naiambana,116
Stephane Cornicard,82
Gary Fannin,82
Sadao Ueda,82
Phillip Law,82
Wai Wong,82
Joseph Balderrama,82
Eiji Mihara,82
Junichi Kajioka,105
Victor Schefé,147
Harald Windisch,82
Tristan Matthiae,82
Detlef Bothe,159
Bodo Friesecke,82
Wilhem Iben,82
Noemi Krausz,82
Noah Saavedra,82
Francis Attakpah,82
Michael Glantschnig,82
Marlon Boess,82
Marie Wohlmuth,82
Lili Epply,82
Konstantin Gerlach,82
Lara Parmiani,82
Umit Ulgen,82
Amra Mallassi,154
Ziad Abaza,82
Walid Mumuni,82
Derek Horsham,82
Nari Blair-Mangat,159
Michael White,82
Adam McGrady,82
Nader Dernaika,82
Pezhmaan Alinia,82
Judi Dench,225
Neve Gachev,368
Karl Farrer,216
Kim Adis,82
Maurisa Selene Coleman,82
Matija Mondi Matović,82
Christian Bale,412
Michael Caine,434
Gary Oldman,408
Anne Hathaway,675
Tom Hardy,406
Marion Cotillard,328
Joseph Gordon-Levitt,531
Morgan Freeman,715
Cillian Murphy,312
Juno Temple,419
Liam Neeson,812
Matthew Modine,157
Alon Aboutboul,184
Ben Mendelsohn,276
Nestor Carbonell,157
Josh Pence,351
Tom Conti,168
Joey King,560
Warren Brown,157
Daniel Sunjata,173
Sam Kennard,157
Aliash Tepina,157
Nick Julian,157
Miranda Nolan,179
Claire Julien,157
Aidan Gillen,193
Burn Gorman,279
Brett Cullen,235
Reggie Lee,184
Joseph Lyle Taylor,188
Chris Ellis,157
Duane Henry,157
James Harvey Ward,157
Gonzalo Menendez,175
Cameron Jack,157
Lex Daniel,157
Tyler Dean Flores,157
Thomas Lennon,400
Trevor White,363
Rob Brown,230
Fredric Lehne,157
Courtney Munch,250
Chris Hill,157
Travis Guba,157
Jay Benedict,157
Will Estes,157
David Dayan Fisher,157
Glen Powell,270
Russ Fega,209
Andres Perez-Molina,157
Brent Briscoe,170
John Nolan,157
Oliver Cotton,157
Mark Killeen,227
Sarah Goldberg,157
John MacMillan,253
Robert Wisdom,157
Ronnie Gene Blevins,208
John Hollingworth,157
Ian Bohen,157
Uri Gavriel,157
Noel Gugliemi,273
Hector Atreyu Ruiz,157
Patrick Cox,157
Aramis Knight,176
Josh Stewart,261
William Devane,187
David Gyasi,216
Patrick Jordan,157
Joshua Elijah Reese,268
Desmond Harrington,172
Mychael Bates,257
Tomas Arana,250
Peter Holden,254
David Monahan,157
Jillian Armenante,285
Aja Evans,157
Aldous Davidson,157
Wade Williams,212
Jake Canuso,157
Massi Furlan,157
Christopher Judge,157
Patrick Leahy,308
Todd Gearhart,157
Marc Abbink,227
Isiah Adams,157
Charlie Alejandro,226
Robert Arensen,157
Grant Babbitt,157
Fileena Bahris,302
Rick Bolander,289
Kyle Patrick Brennan,157
Scott Churchson,157
Bill Cowher,157
Graham Curry,450
Stephanie Domini Ehlert,176
John Farrer,157
Frank Fata,157
Christopher Bryan Gomez,157
Vito Grassi,213
Michael Wren Gucciardo,220
Sam Harris,157
Ed Heavey,157
John W. Iwanonkiw,205
Cindy Jackson,224
Daniel Jordano,157
William Kania,301
Tiffany Kemp,157
Sun Jae Kim,157
Hrvoje Klecz,236
Alex Kruz,171
Tyler La Marr,157
LeJon,191
Paul Jude Letersky,348
Joe Lipari,157
Silvia Lombardo,157
Jorge Mardel,268
Cale McConnell,157
David Dale McCue,224
Tiffany Sander McKenzie,397
Allen Merritt,157
Olan Montgomery,157
Alex Moore,290
Shane Nolan,157
Jackson Nunn,203
Joseph O'Brien,268
Michael Papajohn,515
Salomon Passariello,157
Kyle David Pierce,157
Troy Polamalu,157
Michael Power,348
James Rawlings,269
Kirsten Roeters,157
Ben Roethlisberger,157
Mark Roman,157
Anthony J. Sacco,360
Eric Salazar,157
Emily Schooley,157
Thomas Tull,157
Chris Vaina,268
Vincent van Ommen,157
Michelle Vezzani,203
Barbara Vincent,298
Justin Michael Woods,157
Jason Yee,157
Maria Zambrana,271
John Zion,157
Alex Ziwak,157
Tommy Bayiokos,322
Matthew Gooley,289
Jeff Moffitt,289
Mark Falvo,535
Diogo Hausen,175
Gary Sievers,310
Orion McCabe,227
London May,157
James Quinn,191
Daniel Newman,157
Taylor Kitsch,129
Lynn Collins,26
Samantha Morton,29
Willem Dafoe,238
Thomas Haden Church,168
Mark Strong,258
Ciarán Hinds,163
Dominic West,205
James Purefoy,80
Bryan Cranston,472
Polly Walker,60
Daryl Sabara,81
Arkie Reece,48
Davood Ghadami,26
Pippa Nixon,33
James Embree,51
Philip Philmar,26
Emily Tierney,26
Edmund Kente,26
Nicholas Woodeson,120
Kyle Agnew,26
Don Stark,26
Josh Daugherty,26
Jared Cyr,26
Christopher Goodman,26
Amanda Clayton,26
Joseph Billingiere,51
Zachary Levi,54
Mandy Moore,12
Donna Murphy,56
Ron Perlman,164
M.C. Gainey,149
Jeffrey Tambor,67
Brad Garrett,89
Paul F. Tompkins,12
Richard Kiel,12
Delaney Rose Stein,12
Nathan Greno,12
Byron Howard,12
Tim Mertens,115
Robert Downey Jr.,515
Chris Hemsworth,629
Mark Ruffalo,623
Chris Evans,554
Scarlett Johansson,706
Jeremy Renner,520
James Spader,159
Samuel L. Jackson,623
Don Cheadle,392
Aaron Taylor-Johnson,251
Elizabeth Olsen,247
Paul Bettany,624
Cobie Smulders,328
Anthony Mackie,762
Hayley Atwell,357
Idris Elba,351
Linda Cardellini,138
Stellan Skarsgård,422
Claudia Kim,71
Thomas Kretschmann,251
Andy Serkis,239
Julie Delpy,87
Stan Lee,1049
Henry Goodman,161
Chris Luca,71
Brian Schaeffer,363
Dominique Provost-Chalkley,71
Isaac Andrews,213
Gareth Kieran Jones,71
Chan Woo Lim,71
Minhee Yeo,71
Bentley Kalu,200
Julian Bleach,355
Christopher Beasley,71
Vuyo Dabula,71
Nondumiso Tembe,71
Kabelo Thai,71
Lele Leowaba,71
Mandla Gaduka,71
Harriet Manamela,71
Beulah Hashe,71
Musca Kumalo,71
Mathapelo September,71
Antony Acheampong,141
Chioma Anyanwu,71
Ben Sakamoto,71
Imogen Poynton,147
Isabella Poynton,147
Ingvild Deila,71
Sunny Yeo,71
Namju Go,71
Mina Kweon,71
Earl T. Kim,71
Arthur Lee,71
Verity Hewlett,71
Michael Matovski,71
Alma Noce,71
Riccardo Richetta,71
Constanza Ruff,71
Monty Mclaren-Clark,71
Julia Krynke,71
Tony Christensen,71
Ian Kay,71
Barry Aird,71
Aaron Himelstein,129
Kerry Condon,171
Jaiden Stafford,71
Dilyana Bouklieva,185
Josh Brolin,624
Joti Nagra,197
Nick W. Nicholson,333
Daniel Westwood,521
Ben Affleck,465
Henry Cavill,246
Gal Gadot,354
Amy Adams,490
Jesse Eisenberg,452
Diane Lane,262
Jeremy Irons,266
Laurence Fishburne,288
Holly Hunter,170
Scoot McNairy,442
Callan Mulvey,332
Tao Okamoto,172
Jena Malone,411
Brandon Spink,196
Lauren Cohan,160
Hugh Maguire,151
Michael Cassidy,166
Alan D. Purwin,320
Dan Amboyer,151
Rebecca Buller,174
Harry Lennix,179
Christina Wren,174
Jade Chynoweth,191
Chad Krowchuk,151
Kevin Costner,378
Ezra Miller,343
Patrick Wilson,388
Michael Shannon,443
Charlie Rose,202
Vikram Gandhi,151
Andrew Sullivan,151
Neil deGrasse Tyson,271
Jon Stewart,170
Soledad O'Brien,151
Erika R. Erickson,151
Dana Bash,151
Nancy Grace,185
Anderson Cooper,220
Brooke Baldwin,151
Carla Gugino,316
Jason Momoa,176
Joe Morton,151
Ray Fisher,151
Joseph Cranford,151
Emily Peterson,151
Jeffrey Dean Morgan,273
Sammi Rotibi,291
Hanna Dworkin,151
Tiffany L. Addison,151
Owais Ahmed,151
Anish Jethmalani,151
Tiffany Bedwell,151
Natalee Arteaga,151
Keith D. Gallagher,151
Jeff Dumas,151
Miriam Lee,151
Alicia Regan,151
Stephanie Koenig,246
Ripley Sobo,201
Richard Burden,151
Julius Tennon,213
Wunmi Mosaku,203
Dennis North,225
Kiff VandenHeuvel,275
Mason Heidger,151
Ahney Her,151
Kristine Cabanban,151
Sebastian Sozzi,170
Kent Shocknek,211
Ralph Lister,309
Sammy A. Publes,151
Jay R. Adams,151
David Midura,151
Jay Towers,151
Michael Ellison,297
Kirill Ostapenko,151
Rashontae Wawrzyniak,151
Tom Luginbill,151
Dave Pasch,151
Danny Mooney ,202
Henry Frost III,151
Nicole Forester,197
Debbie Stabenow,151
Milica Govich ,230
John Lepard,151
Sandra Love Aldridge,161
Graham W.J. Beal,151
Henri Franklin,151
Jonathan West,151
T.J. Martinelli,151
Chris Newman,347
Lulu Dahl,151
Sam Logan Khaleghi,151
Anne Marie Damman,151
Connie Craig,151
Henrietta Hermelin,151
Albert Valladares,151
David Paris,151
Abigail Kuklis,151
Greg Violand,151
Tiren Jhames,151
Steve Jasgur,151
Jonathan Stanley,151
Jesse Nagy,151
Duvale Murchison,151
Thomas J. Fentress,151
Coburn Goss,151
Jeff Hanlin,151
Gary A. Hecker,151
Robin Atkin Downes,381
Issac Ryan Brown,151
Barton Bund,151
Bailey Chase,169
Patrick O'Connor Cronin,151
Sonja Crosby,151
C.T. Fletcher,151
Ahman Green,151
Diana Gaitirira,217
Jalene Mack,151
Esodie Geiger,166
Nene Nwoko,151
Scott Edward Logan,151
Marcus Goddard,151
Cruz Gonzalez-Cadel,151
Alma Martinez,151
Sal Lopez,151
Marcel Shihadeh,151
Theo Bongani Ndyalvane,151
Satori Shakoor,151
Ele Bardha,192
Inder Kumar,151
Brandon Bautista,151
Laura Atwood,151
Debbie Scaletta,395
David Leach,151
Gordon Michaels,190
Brian Boland,170
Taras Los,246
Jason Hughley,151
Sidi Henderson,181
Meighan Gerachis,151
Nicole Santini,172
Axel Harney,151
Wayne E. Brown,320
Dante Briggins,151
Shannon Garnett,151
Lynch R. Travis,151
Carmen Gangale,221
Joe Cipriano,151
Will Blagrove,224
Marcelo Bem,151
Johnny Depp,477
Armie Hammer,274
William Fichtner,271
Helena Bonham Carter,535
James Badge Dale,338
Tom Wilkinson,386
Ruth Wilson,129
Barry Pepper,199
James Frain,89
Mason Cook,69
Matt O'Leary,72
Leon Rippy,59
Harry Treadaway,59
Damon Herriman,82
W. Earl Brown,213
Gil Birmingham,114
Saginaw Grant,125
Stephen Brodie,59
Matthew Page,174
Bryant Prince,59
JD Cullum,59
Joaquín Cosio,199
Timothy V. Murphy,80
Damon Carney,59
Kevin Wiggins,137
Chad Brummett,121
Robert Baker,59
Lew Temple,105
Stephen Root,225
Randy Oglesby,59
Brad Greenquist,63
Rance Howard,180
Leonard Earl Howze,102
Travis Hammer,122
Steve Corona,59
Jack Axelrod,59
Christopher Hagen,100
Freda Foh Shen,59
Margaret Bowman,59
Luz P. Mendez,59
Laina Loucks,59
Devon J. Adams,59
Desirae Anslover,59
Charlotte Cormier,59
Megan Pribyl,59
Briana Van Schuyver,59
Julie Stracener,59
Chad Randall,131
Jason E. Hill,122
Beth Bailey,122
Joanne Camp,59
Bob Rumnock,59
Tait Fletcher,179
Alex Knight,194
Argos MacCallum,74
Pokey Lafarge,59
Joey Glynn,59
Adam Hoskins,59
Ryan Koenig,59
Russell Crowe,415
Antje Traue,169
Christopher Meloni,168
Jadin Gould,93
Tahmoh Penikett,32
Ayelet Zurer,58
Richard Schiff,115
Dylan Sprayberry,32
Michael Kelly,209
Richard Cetrone,241
Mackenzie Gray,94
Julian Richings,217
Mary Black,32
Samantha Jo,32
David Lewis,32
Doug Abrahams,32
Brad Kelly,63
Alessandro Juliani,32
Jack Foley,32
Robert Gerdisch,32
Jacqueline Scislowski,32
Sean Campbell,99
Raj Lal,90
Tom Hiddleston,304
Clark Gregg,298
Gwyneth Paltrow,369
Jenny Agutter,201
Walter Perez,147
Powers Boothe,193
Arthur Darbinyan,213
Donald Li,114
Ashley Johnson,147
Harry Dean Stanton,179
Alicia Sixtos,114
Dieter Riesle,114
Jamie McShane,292
Jeff Wolfe,176
Jerzy Skolimowski,114
Maximiliano Hernández,265
Alexis Denisof,192
James Eckhouse,114
Enver Gjokaj,124
Damion Poitier,206
Tina Benko,133
Kirill Nikiforov,114
M'laah Kaur Singh,114
Rashmi Rustagi,114
Warren Kole,114
Jesse Garcia,179
Kenneth Tigar,114
Josh Cowdery,114
Katsumi Komatsu,114
Yumiko Komatsu,114
Momoko Komatsu,114
Robert Clohessy,416
Fernanda Toker,114
Andrea Vecchio,114
Robin Swoboda,114
Brent McGee,206
Michael Zhang,114
William-Christopher Stephens,114
Kelley Robins,114
Romy Rosemont,145
Pat Kiernan,507
Thomas Roberts,214
Jillian Morgese,114
Catherine Anderson,114
Ricardo Andres,180
Logan Bennett,114
Mayank Bhatter,114
Sharita Bone,114
Jason Botsford,114
Mary Kate Campbell,114
Gene N. Chavez,114
Layla Cushman,114
Robert Dean,114
Rick Dremann,114
Jeffrey Feingold,256
Lou Ferrigno,114
Rod Fielder,127
Eric Frank,114
Israel Hall,114
Carmen Dee Harris,114
Alexander Christopher Jones,272
Mike Karban,114
Demoine Kinney,114
Andrew Knode,114
Annette Lawless,114
Kimberly J. Mahoney,114
Todd Manes,114
Michael McMillan,114
Sean Meehan,114
Holly Neelie,114
Caleb Daniel Noal,114
Jeremy Orr,114
Nate Paige,114
Martin Palmer,180
Maria Perossa,114
Caleb Pieplow,114
Alexander Daniel Pimentel,114
Frank Powers,114
Jaime Powers,153
Brent Reichert,114
Kelly Ruble,114
Gina Sarno,114
Robert B. Schneider IV,114
Jeff Seich,114
Christina Shaffer,114
Alonda Shevette,114
Douglas Slygh,114
Colin Strause,114
Robert P. Thitoff,114
George Thomas,114
Shane Thompson,114
Jerry Lee Tucker,137
Tai Urban,114
Sandra Weston,114
Seth Zielicke,114
Alex DeCourville,114
Andrea-Nichole Olivas,114
Tina Grimm,252
Penélope Cruz,230
Ian McShane,112
Kevin McNally,83
Geoffrey Rush,231
Sam Claflin,242
Astrid Bergès-Frisbey,51
Stephen Graham,64
Greg Ellis,69
Damian O'Hare,34
Óscar Jaenada,94
Richard Griffiths,61
Keith Richards,34
Gemma Ward,64
Ian Mercer,34
Robbie Kay,72
Christopher Fairbank,158
Yuki Matsuzaki,34
Steve Evets,107
Bronson Webb,100
Derek Mears,154
Deobia Oparei,140
Sebastian Armesto,111
Anton Lesser,42
Roger Allam,122
Paul Bazely,34
Richard Thomson,34
Danny Le Boyer,34
Alan J. Utley-Moore,34
Luke Roberts,75
Emilia Jones,63
Sanya Hughes,34
Siegfried Peters,34
Will Smith,392
Tommy Lee Jones,436
Michael Stuhlbarg,175
Emma Thompson,124
Jemaine Clement,173
Nicole Scherzinger,17
Alice Eve,259
Bill Hader,539
Michael Chernus,91
David Rasche,52
Keone Young,17
Cayen Martin,17
Mike Colter,47
Mela Hudson,83
Will Arnett,167
Kelvin Davis,71
Dan Bittner,174
Martin Freeman,260
Ian McKellen,131
Richard Armitage,294
Ken Stott,79
Graham McTavish,193
William Kircher,50
James Nesbitt,71
Stephen Hunter,50
Dean O'Gorman,50
Aidan Turner,72
John Callen,50
Peter Hambleton,44
Jed Brophy,68
Mark Hadlow,50
Adam Brown,50
Orlando Bloom,74
Evangeline Lilly,278
Lee Pace,270
Cate Blanchett,228
Hugo Weaving,231
Christopher Lee,126
Ian Holm,47
Mikael Persbrandt,44
Sylvester McCoy,59
Luke Evans,228
Stephen Fry,179
John Bell,67
Ryan Gage,41
Peggy Nesbitt,44
Mary Nesbitt,44
Manu Bennett,50
John Tui,86
Billy Connolly,83
Benedict Cumberbatch,623
Kelly Kilgour,41
Sarah Peirse,44
Nick Blake,41
Simon London,41
Conan Stevens,105
Allan Smith,41
Miranda Harcourt,41
Thomasin McKenzie,41
Andrew Garfield,228
Emma Stone,497
Rhys Ifans,271
Denis Leary,161
Campbell Scott,107
Irrfan Khan,111
Martin Sheen,210
Sally Field,175
Max Charles,293
Chris Zylka,67
Embeth Davidtz,173
Leif Gantvoort,106
Hannah Marks,73
Kelsey Asbille,56
C. Thomas Howell,56
Michael Massee,107
Kari Coleman,107
Charlie DePew,107
Skyler Gisondo,202
Jacob Rodier,107
Jake Keiffer,56
Kevin McCorkle,56
Barbara Eve Harris,56
Danielle Burgio,56
Michael Barra,56
Andy Pessoa,56
Andy Gladbach,56
