period,main_genre,nb_communities
1990_1999,"Drama, Comedy, Thriller",14
1990_1999,"Comedy, Drama, Action",7
1990_1999,"Drama, Action, Thriller",4
1990_1999,"Comedy, Drama, Thriller",3
1990_1999,"Drama, Comedy, Action",3
1990_1999,"Drama, Thriller, Comedy",3
1990_1999,"Comedy, Drama, Romance",2
1990_1999,"Action, Comedy, Drama",1
1990_1999,"Action, Drama, Thriller",1
1990_1999,"Drama, Comedy, Crime",1
1990_1999,"Drama, Comedy, Romance",1
1990_1999,"Drama, Thriller, Action",1
2000_2009,"Drama, Comedy, Thriller",13
2000_2009,"Drama, Comedy, Action",6
2000_2009,"Comedy, Drama, Action",5
2000_2009,"Drama, Thriller, Action",5
2000_2009,"Comedy, Drama, Thriller",4
2000_2009,"Drama, Action, Thriller",4
2000_2009,"Action, Drama, Thriller",2
2000_2009,"Drama, Thriller, Comedy",2
2000_2009,"Action, Drama, Adventure",1
2000_2009,"Animation, Family, Comedy",1
2000_2009,"Comedy, Drama, Romance",1
2000_2009,"Drama, Comedy, Romance",1
2000_2009,"Drama, Romance, Action",1
2000_2009,"Romance, Drama, Crime",1
2000_2009,"Thriller, Action, Fantasy",1
2010_2019,"Drama, Comedy, Thriller",17
2010_2019,"Comedy, Drama, Action",6
2010_2019,"Drama, Comedy, Action",6
2010_2019,"Drama, Action, Thriller",4
2010_2019,"Drama, Thriller, Action",4
2010_2019,"Comedy, Drama, Thriller",3
2010_2019,"Action, Drama, Comedy",1
2010_2019,"Comedy, Action, Drama",1
2010_2019,"Comedy, Drama, Family",1
2010_2019,"Comedy, Drama, Romance",1
2010_2019,"Drama, Action, Crime",1
2010_2019,"Drama, Romance, Comedy",1
2010_2019,"Drama, Thriller, Adventure",1
2010_2019,"Drama, Thriller, Comedy",1
2010_2019,"Drama, Thriller, Mystery",1
2010_2019,"Drama, Thriller, Romance",1
2010_2019,"Science Fiction, Action, Horror",1
