period,community_id,size
1990_1999,3,699
1990_1999,12,575
1990_1999,18,519
1990_1999,4,497
1990_1999,9,479
1990_1999,7,434
1990_1999,25,433
1990_1999,41,427
1990_1999,19,342
1990_1999,1,340
1990_1999,39,332
1990_1999,10,294
1990_1999,33,257
1990_1999,6,243
1990_1999,17,241
1990_1999,16,230
1990_1999,5,226
1990_1999,37,219
1990_1999,2,218
1990_1999,34,211
1990_1999,40,209
1990_1999,8,196
1990_1999,23,194
1990_1999,11,184
1990_1999,22,177
1990_1999,14,169
1990_1999,15,165
1990_1999,30,165
1990_1999,21,163
1990_1999,28,160
1990_1999,29,160
1990_1999,13,155
1990_1999,20,155
1990_1999,35,143
1990_1999,0,134
1990_1999,36,123
1990_1999,27,115
1990_1999,32,109
1990_1999,38,101
1990_1999,26,96
1990_1999,24,86
1990_1999,31,84
2000_2009,3,2641
2000_2009,14,2148
2000_2009,4,1279
2000_2009,29,1172
2000_2009,31,1144
2000_2009,6,919
2000_2009,25,867
2000_2009,7,829
2000_2009,32,669
2000_2009,13,652
2000_2009,15,652
2000_2009,20,627
2000_2009,35,626
2000_2009,11,574
2000_2009,18,572
2000_2009,10,505
2000_2009,9,484
2000_2009,24,483
2000_2009,30,462
2000_2009,8,445
2000_2009,28,417
2000_2009,1,404
2000_2009,26,390
2000_2009,5,364
2000_2009,37,352
2000_2009,27,326
2000_2009,21,312
2000_2009,2,306
2000_2009,23,297
2000_2009,12,288
2000_2009,0,263
2000_2009,19,254
2000_2009,36,230
2000_2009,33,221
2000_2009,17,214
2000_2009,41,202
2000_2009,39,184
2000_2009,38,160
2000_2009,43,158
2000_2009,22,128
2000_2009,34,126
2000_2009,40,121
2000_2009,45,50
2000_2009,42,37
2000_2009,44,30
2000_2009,16,15
2010_2019,3,2103
2010_2019,44,1353
2010_2019,9,1157
2010_2019,43,1151
2010_2019,48,1104
2010_2019,27,1048
2010_2019,31,867
2010_2019,46,824
2010_2019,13,674
2010_2019,30,648
2010_2019,17,595
2010_2019,5,590
2010_2019,1,578
2010_2019,16,577
2010_2019,2,562
2010_2019,47,543
2010_2019,8,509
2010_2019,34,502
2010_2019,26,461
2010_2019,4,428
2010_2019,21,402
2010_2019,50,366
2010_2019,10,366
2010_2019,20,360
2010_2019,11,339
2010_2019,38,334
2010_2019,49,321
2010_2019,32,309
2010_2019,37,298
2010_2019,14,278
2010_2019,28,242
2010_2019,6,233
2010_2019,12,232
2010_2019,33,220
2010_2019,24,210
2010_2019,40,200
2010_2019,41,196
2010_2019,29,170
2010_2019,39,150
2010_2019,19,119
2010_2019,0,117
2010_2019,18,99
2010_2019,25,93
2010_2019,7,79
2010_2019,35,64
2010_2019,15,64
2010_2019,42,52
2010_2019,36,51
2010_2019,23,33
2010_2019,22,26
2010_2019,45,23
