period,movie_id,title,release_year,nb_cast_total,nb_cast_in_graph,nb_communities_in_movie,dominant_community,dominant_community_count,dominant_community_share,is_coherent_with_community,communities_distribution
1990_1999,597,Titanic,1997.0,136,136,1,0,136,1.0,True,{0: 136}
1990_1999,8487,Wild Wild West,1999.0,29,29,9,14,21,0.724,True,"{1: 1, 14: 21, 41: 1, 4: 1, 33: 1, 6: 1, 23: 1, 3: 1, 9: 1}"
1990_1999,9804,Waterworld,1995.0,15,15,5,11,11,0.733,True,"{20: 1, 11: 11, 12: 1, 13: 1, 14: 1}"
1990_1999,95,Armageddon,1998.0,67,67,6,3,61,0.91,True,"{15: 1, 3: 61, 16: 2, 17: 1, 1: 1, 13: 1}"
1990_1999,944,Lethal Weapon 4,1998.0,21,21,7,1,15,0.714,True,"{6: 1, 1: 15, 19: 1, 4: 1, 15: 1, 3: 1, 20: 1}"
1990_1999,36643,The World Is Not Enough,1999.0,20,20,4,6,17,0.85,True,"{6: 17, 11: 1, 20: 1, 21: 1}"
1990_1999,861,Total Recall,1990.0,21,21,5,24,17,0.81,True,"{22: 1, 19: 1, 23: 1, 24: 17, 13: 1}"
1990_1999,1911,The 13th Warrior,1999.0,19,19,3,26,17,0.895,True,"{4: 1, 26: 17, 1: 1}"
1990_1999,415,Batman & Robin,1997.0,14,14,7,3,6,0.429,False,"{41: 2, 3: 6, 22: 1, 27: 1, 1: 2, 24: 1, 29: 1}"
1990_1999,1893,Star Wars: Episode I - The Phantom Menace,1999.0,58,58,5,11,53,0.914,True,"{11: 53, 30: 1, 19: 1, 31: 1, 15: 2}"
1990_1999,9619,Dante's Peak,1997.0,16,16,5,24,12,0.75,True,"{6: 1, 24: 12, 1: 1, 32: 1, 20: 1}"
1990_1999,714,Tomorrow Never Dies,1997.0,34,34,3,6,32,0.941,True,"{6: 32, 13: 1, 15: 1}"
1990_1999,1639,Speed 2: Cruise Control,1997.0,16,16,8,12,8,0.5,False,"{12: 8, 33: 1, 35: 1, 18: 1, 24: 2, 11: 1, 14: 1, 27: 1}"
1990_1999,10137,Stuart Little,1999.0,18,18,14,41,5,0.278,False,"{37: 1, 6: 1, 11: 1, 41: 5, 38: 1, 13: 1, 1: 1, 20: 1, 14: 1, 3: 1, 27: 1, 39: 1, 17: 1, 40: 1}"
1990_1999,280,Terminator 2: Judgment Day,1991.0,42,42,6,24,36,0.857,True,"{22: 1, 24: 36, 14: 1, 12: 1, 0: 2, 40: 1}"
1990_1999,36955,True Lies,1994.0,10,10,8,41,3,0.3,False,"{22: 1, 41: 3, 37: 1, 0: 1, 2: 1, 1: 1, 17: 1, 3: 1}"
1990_1999,9268,Eraser,1996.0,18,18,13,3,6,0.333,False,"{22: 1, 33: 1, 38: 1, 3: 6, 23: 1, 0: 1, 14: 1, 1: 1, 19: 1, 26: 1, 13: 1, 6: 1, 32: 1}"
1990_1999,10545,The Hunchback of Notre Dame,1996.0,17,17,5,38,13,0.765,True,"{38: 13, 14: 1, 23: 1, 30: 1, 13: 1}"
1990_1999,9946,End of Days,1999.0,13,13,9,27,5,0.385,False,"{22: 1, 1: 1, 19: 1, 27: 5, 26: 1, 31: 1, 13: 1, 3: 1, 14: 1}"
1990_1999,414,Batman Forever,1995.0,17,17,9,3,9,0.529,False,"{3: 9, 20: 1, 34: 1, 8: 1, 1: 1, 30: 1, 19: 1, 24: 1, 39: 1}"
1990_1999,563,Starship Troopers,1997.0,20,20,6,24,13,0.65,True,"{24: 13, 20: 2, 16: 2, 31: 1, 5: 1, 41: 1}"
1990_1999,29193,The Spanish Prisoner,1997.0,6,6,3,13,4,0.667,True,"{27: 1, 13: 4, 3: 1}"
1990_1999,18,The Fifth Element,1997.0,115,115,2,15,114,0.991,True,"{15: 114, 0: 1}"
